from,to,detail,type,contract_size,
Tom Scholar,UK government,Tom Scholar is a British civil servant currently serving as Permanent Secretary at HM Treasury.,job,,
Tom Scholar,David Cameron,"David Cameron <a target=""_blank"" href=""https://www.theguardian.com/politics/2021/apr/22/david-cameron-lobbied-top-treasury-official-by-phone-mps-told"">called and sent text messages to Tom Scholar</a>, the Treasury's most senior civil servant, to demand help for the now-collapsed Greensill Capital. Scholar said that Cameron had his professional phone number because he ""used to work for him"".",meeting,,
Charles Roxburgh,UK government,Charles Roxburgh is a British civil servant currently serving as Second Permanent Secretary to HM Treasury.,job,,
Charles Roxburgh,Greensill Capital,"Treasury civil servant Charles Roxburgh held <a target=""_blank"" href=""https://www.theguardian.com/politics/2021/apr/22/david-cameron-lobbied-top-treasury-official-by-phone-mps-told"">nine meetings with Greensill</a> last year, as the company repeatedly tried to gain access to the government's COVID support schemes.",meeting,,
Charles Roxburgh,Bill Crothers,"Roxburgh said he was <a target=""_blank"" href=""https://www.theguardian.com/politics/2021/apr/22/david-cameron-lobbied-top-treasury-official-by-phone-mps-told"">introduced to Greensill by Bill Crothers</a>, another civil servant who held a paid position with Greensill during his time in public service.",meeting,,
Jon Cunliffe,David Cameron,"In March 2020, <a target=""_blank"" href=""https://www.bankofengland.co.uk/freedom-of-information/2021/communications-between-david-cameron-and-senior-bank-officials-about-greensill-capital-and-the-ccff"">David Cameron emailed Jon Cunliffe</a>, the Deputy Governor of the Bank of England for Financial Stability, to arrange a meeting on behalf of his employer, Greensill Capital.",meeting,,
David Brownlow,Conservative party,"David Brownlow has given <a target=""_blank"" href=""http://search.electoralcommission.org.uk/?currentPage=5&rows=10&query=brownlow&sort=AcceptedDate&order=desc&tab=1&et=pp&et=ppm&et=tp&et=perpar&et=rd&isIrishSourceYes=true&isIrishSourceNo=true&prePoll=false&postPoll=true&register=gb&register=ni&register=none&optCols=Register&optCols=CampaigningName&optCols=AccountingUnitsAsCentralParty&optCols=IsSponsorship&optCols=IsIrishSource&optCols=RegulatedDoneeType&optCols=CompanyRegistrationNumber&optCols=Postcode&optCols=NatureOfDonation&optCols=PurposeOfVisit&optCols=DonationAction&optCols=ReportedDate&optCols=IsReportedPrePoll&optCols=ReportingPeriodName&optCols=IsBequest&optCols=IsAggregation"">over ¬£2 million in donations</a> to the Conservative party. Leaked emails show that <a target=""_blank"" href=""https://www.dailymail.co.uk/news/article-9492829/Leaked-memo-shows-Tory-chief-knew-58-000-donation-Boris-Johnsons-Downing-Street-flat.html"">Brownlow also donated ¬£60,000</a> to the Conservative party to cover rennovation costs for Boris Johnson's Downing Street flat. Brownlow was formerly Vice-Chairman of the Conservative party.",donor,2081,
David Brownlow,Boris Johnson,"Leaked emails show that <a target=""_blank"" href=""https://www.dailymail.co.uk/news/article-9492829/Leaked-memo-shows-Tory-chief-knew-58-000-donation-Boris-Johnsons-Downing-Street-flat.html"">Brownlow donated ¬£60,000</a> to the Conservative party to cover rennovation costs for Boris Johnson's Downing Street flat.",donor,60,
David Brownlow,Huntswood,"Huntswood is a business services firm <a target=""_blank"" href=""https://find-and-update.company-information.service.gov.uk/company/03969379/officers"">founded by David Brownlow</a>.",job,,
Huntswood,UK government,"Huntswood was one of 37 suppliers <a target=""_blank"" href=""https://www.contractsfinder.service.gov.uk/notice/3af07f81-67ab-4393-b5ee-ed0982b4524b?origin=SearchResults&p=1"">awarded a contract</a> by the UK Financial Conduct Authority in 2017 worth up to ¬£120 million. Huntswood was also awarded a <a target=""_blank"" href=""https://www.contractsfinder.service.gov.uk/notice/9900be3a-a75e-4f9e-becf-4007ac08ae56?origin=SearchResults&p=1"">contract worth up to ¬£60,000</a> by the UK Student Loans Company in 2018.",contract,3303,
Samantha Cameron,David Cameron,David and Samantha Cameron are married.,family,,
David Brownlow,Samantha Cameron,"David Brownlow is a <a target=""_blank"" href=""https://find-and-update.company-information.service.gov.uk/company/10410585/officers"">director of Samantha Cameron's clothing company</a>.",job,,
Theresa May,Conservative party,Theresa May is a Conservative MP and former Prime Minister.,job,,
David Brownlow,Theresa May,"Since 2015, David Brownlow has <a target=""_blank"" href=""http://search.electoralcommission.org.uk/?currentPage=5&rows=10&query=brownlow&sort=AccountingUnitName&order=asc&tab=1&et=pp&et=ppm&et=tp&et=perpar&et=rd&isIrishSourceYes=true&isIrishSourceNo=true&prePoll=false&postPoll=true&register=gb&register=ni&register=none&optCols=Register&optCols=CampaigningName&optCols=AccountingUnitsAsCentralParty&optCols=IsSponsorship&optCols=IsIrishSource&optCols=RegulatedDoneeType&optCols=CompanyRegistrationNumber&optCols=Postcode&optCols=NatureOfDonation&optCols=PurposeOfVisit&optCols=DonationAction&optCols=ReportedDate&optCols=IsReportedPrePoll&optCols=ReportingPeriodName&optCols=IsBequest&optCols=IsAggregation"">donated over ¬£124,000</a> to the Maidenhead branch of the Conservative party, which is Theresa May's constituency. David Brownlow was <a target=""_blank"" href=""https://en.wikipedia.org/wiki/David_Brownlow,_Baron_Brownlow_of_Shurlock_Row"">nominated for a peerage by Theresa May</a> in her resignation honours in 2019.",donor,124,
William Hobhouse,Kate Hobhouse,Kate and William Hobhouse are married.,family,,
William Hobhouse,Conservative party,"William Hobhouse <a target=""_blank"" href=""http://search.electoralcommission.org.uk/?currentPage=1&rows=10&query=william%20hobhouse&sort=RegulatedEntityName&order=asc&tab=1&et=pp&et=ppm&et=tp&et=perpar&et=rd&isIrishSourceYes=true&isIrishSourceNo=true&prePoll=false&postPoll=true&register=gb&register=ni&register=none&optCols=Register&optCols=CampaigningName&optCols=AccountingUnitsAsCentralParty&optCols=IsSponsorship&optCols=IsIrishSource&optCols=RegulatedDoneeType&optCols=CompanyRegistrationNumber&optCols=Postcode&optCols=NatureOfDonation&optCols=PurposeOfVisit&optCols=DonationAction&optCols=ReportedDate&optCols=IsReportedPrePoll&optCols=ReportingPeriodName&optCols=IsBequest&optCols=IsAggregation"">donated ¬£63,000</a> to the Conservative party in 2009.",donor,63,
William Hobhouse,Vote Leave,"William Hobhouse <a target=""_blank"" href=""http://search.electoralcommission.org.uk/?currentPage=1&rows=10&query=william%20hobhouse&sort=RegulatedEntityName&order=asc&tab=1&et=pp&et=ppm&et=tp&et=perpar&et=rd&isIrishSourceYes=true&isIrishSourceNo=true&prePoll=false&postPoll=true&register=gb&register=ni&register=none&optCols=Register&optCols=CampaigningName&optCols=AccountingUnitsAsCentralParty&optCols=IsSponsorship&optCols=IsIrishSource&optCols=RegulatedDoneeType&optCols=CompanyRegistrationNumber&optCols=Postcode&optCols=NatureOfDonation&optCols=PurposeOfVisit&optCols=DonationAction&optCols=ReportedDate&optCols=IsReportedPrePoll&optCols=ReportingPeriodName&optCols=IsBequest&optCols=IsAggregation"">donated ¬£40,350</a> to the Vote Leave campaign.",donor,40,
Kate Hobhouse,Conservative party,"Kate Hobhouse has <a target=""_blank"" href=""http://search.electoralcommission.org.uk/?currentPage=1&rows=10&query=anna%20hobhouse&sort=RegulatedEntityName&order=asc&tab=1&et=pp&et=ppm&et=tp&et=perpar&et=rd&isIrishSourceYes=true&isIrishSourceNo=true&prePoll=false&postPoll=true&register=gb&register=ni&register=none&optCols=Register&optCols=CampaigningName&optCols=AccountingUnitsAsCentralParty&optCols=IsSponsorship&optCols=IsIrishSource&optCols=RegulatedDoneeType&optCols=CompanyRegistrationNumber&optCols=Postcode&optCols=NatureOfDonation&optCols=PurposeOfVisit&optCols=DonationAction&optCols=ReportedDate&optCols=IsReportedPrePoll&optCols=ReportingPeriodName&optCols=IsBequest&optCols=IsAggregation"">donated ¬£130,500</a> to the Conservative party.",donor,130.5,
William Hobhouse,Soane Britain,"William Hobhouse was a <a target=""_blank"" href=""https://find-and-update.company-information.service.gov.uk/company/03360853/officers"">director of Soane Britain</a> from July 2015 to March 2021. As of April 2020, Hobhouse also <a target=""_blank"" href=""https://find-and-update.company-information.service.gov.uk/company/03360853/filing-history"">held shares in the company</a>.",job,,
Carrie Symonds,Soane Britain,"Carrie Symonds was reportedly <a target=""_blank"" href=""https://www.independent.co.uk/news/uk/politics/boris-johnson-flat-refurb-renovation-b1838412.html"">inspired by Soane Britain designer Lulu Lytle</a> for the redecoration of the No. 11 Downing Street flat that she shares with PM Boris Johnson.",informal,,
Carrie Symonds,Boris Johnson,Carrie Symonds is the fianc√©e of Boris Johnson,family,,
Carrie Symonds,Conservative party,Carrie Symonds is a former Conservertive party press officer.,job,,
Kate Hobhouse,Soane Britain,"As of April 2020, both Kate and William Hobhouse <a target=""_blank"" href=""https://find-and-update.company-information.service.gov.uk/company/03360853/filing-history"">held shares in Soane Britain</a>.",corporate,,
Kate Hobhouse,Garfield Weston Foundation,"Kate Hobhouse is a <a target=""_blank"" href=""https://register-of-charities.charitycommission.gov.uk/charity-search/-/charity-details/230260/charity-overview"">trustee of the Garfield Weston Foundation</a>, the charitable foundation run by her family.",job,,
Conservative party,Garfield Weston Foundation,"The Garfield Weston Foundation was reprimanded by the Charity Commission for <a target=""_blank"" href=""https://www.civilsociety.co.uk/news/garfield-weston-foundation-censured-for-links-to-political-donations.html"">making donations totalling ¬£900,000 to the Conservative party</a> between 1993 and 2005 without proper oversight.",donor,900,
Centre for Policy Studies,Garfield Weston Foundation,"The Garfield Weston Foundation <a target=""_blank"" href=""https://www.thetimes.co.uk/article/westons-breached-charity-law-over-tory-donations-xc859gg7gwm"">donated ¬£70,000 to the Center for Policy Studies</a>, a right-wing think tank.",donor,,
Jo Johnson,James Dyson,"As Universities Minister, Jo Johnson <a target=""_blank"" href=""https://www.dyson.com/newsroom/overview/features/october-2020/dyson-institute-degree-powers"">helped James Dyson set up</a> the Dyson Institute of Engineering and Technology. After resigning as a minister in September 2019, Jo Johnson was <a target=""_blank"" href=""https://find-and-update.company-information.service.gov.uk/company/10701273/officers"">appointed as a director of the Dyson Institute</a> in February 2020.",job,,
Bunzl,Tulchan Group,"Bunzl is a client of the lobbying firm, Tulchan.",corporate,,
Bunzl,UK government,"Bunzl has been awarded government PPE contracts worth <a target=""_blank"" href=""https://www.ft.com/content/acfe72b3-543f-4bd5-8b47-ddf96650b5af"">at least</a> <a target=""_blank"" href=""https://www.ft.com/content/b1659548-7cd0-4626-8406-7b2338d04489"">¬£84 million</a> during the pandemic - all awarded without a competitive tender process.",contract,84000,
Bunzl,Andrew Feldman,"<a target=""_blank"" href=""https://www.ft.com/content/b1659548-7cd0-4626-8406-7b2338d04489"">Emails obtained by the Good Law Project</a> indicate that Andrew Feldman used his role as an ""unpaid adviser"" to urge officials to buy PPE from Bunzl, which is a client of his lobbying firm, Tulchan.",job,,
Priti Patel,Conservative party,Priti Patel is a Conservative MP and Home Secretary.,job,,
Priti Patel,Michael Gove,"According to the Daily Mail, <a target=""_blank"" href=""https://www.dailymail.co.uk/news/article-9580491/Priti-Patel-20m-PPE-lobbying-storm.html"">Priti Patel lobbied Cabinet Office minister Michael Gove</a> in 2020 over a ¬£20 million contract for surgical masks for Pharmaceuticals Direct Ltd (PDL).",informal,,
Samir Jassal,Conservative party,"<a target=""_blank"" href=""https://www.bbc.com/news/uk-56667960"">Samir Jassal</a> is a former Conservative Party councillor and Conservative candidate for MP. He donated ¬£4,000 to the party in 2016.",job,,
Samir Jassal,Boris Johnson,"Samir Jassal has <a target=""_blank"" href=""https://www.bbc.com/news/uk-56667960"">accompanied the Prime Minister</a> on official visits and campaign trips.",informal,,
Priti Patel,Samir Jassal,"According to his LinkedIn profile, Jassal <a target=""_blank"" href=""https://www.bbc.com/news/uk-56667960"">worked as an unpaid adviser</a> to Priti Patel between 2014 and 2015. In 2020, Patel lobbied the government on behalf of Pharmaceuticals Direct Ltd after Jassal approached her. She did not disclose the connection, in breach of the Ministerial Code.",job,,
Samir Jassal,Pharmaceuticals Direct Ltd,"Samir Jassal <a target=""_blank"" href=""https://www.bbc.com/news/uk-56667960"">acted as a ""consultant""</a> for Pharmaceuticals Direct Ltd.",job,,
UK government,Pharmaceuticals Direct Ltd,"Priti Patel <a target=""_blank"" href=""https://www.dailymail.co.uk/news/article-9580491/Priti-Patel-20m-PPE-lobbying-storm.html"">lobbied the government</a> to award a ¬£20 million contract for masks to PDL, but the masks were deemed ""not suitable"" by Matt Hancock. Weeks later, PDL was <a target=""_blank"" href=""https://www.contractsfinder.service.gov.uk/notice/68b10473-927b-4609-9fe0-9c1c9488f02e?origin=SearchResults&p=1"">awarded a ¬£102 million no-bid contract</a> to supply a different type of mask.",contract,102600,
Times Place Brasseries Ltd,Nathan Engelbrecht,"Nathan Engelbrecht was <a target=""_blank"" href=""https://find-and-update.company-information.service.gov.uk/company/08737045/officers"">a director of Times Place Brasseries Ltd</a> from 2014 to 2019, and was a shareholder from 2017 to 2019.",job,,
Times Place Brasseries Ltd,Tim Whyte,"Tim Whyte was <a target=""_blank"" href=""https://find-and-update.company-information.service.gov.uk/company/08737045/officers"">a director of Times Place Brasseries Ltd</a> from 2016 to 2018, and was a shareholder from 2017 to 2018.",job,,
Nathan Engelbrecht,Ayanda Capital,Nathan Engelbrecht is a co-founder of Ayanda Capital.,job,,
Tim Whyte,Karen Brost Whyte,"Tim and Karen Whyte are <a target=""_blank"" href=""https://www.standard.co.uk/news/uk/ppe-procurement-scandal-uk-2021-b935842.html#r3z-addoor"">married</a>.",family,,
Karen Brost Whyte,Luxe Lifestyle,"Luxe Lifestyle is <a target=""_blank"" href=""https://find-and-update.company-information.service.gov.uk/company/11703750/officers"">owned by</a> Karen Whyte.",job,,
UK government,Luxe Lifestyle,"Luxe Lifestyle was <a target=""_blank"" href=""https://www.contractsfinder.service.gov.uk/notice/7e35428c-19bc-4a2e-86fe-5e44def750d4?origin=SearchResults&p=1"">awarded a ¬£25,780,000 contract</a> to supply masks and gowns to DHSC, despite the fact that the company had no website, no trading platform, and no contact details.",contract,25780,
Gina Coladangelo,Matt Hancock,"Matt Hancock was pictured kissing his aide, Gina Coladangelo. The two are reportedly old friends since they were at university together.",informal,,
Gina Coladangelo,Roberto Coladangelo,Roberto and Gina Coladangelo are siblings.,family,,
Roberto Coladangelo,Partnering Health Limited,Roberto Coladangelo is an executive at Partnering Health Limited.,job,,
Partnering Health Limited,UK government,"Partnering Health Limited (PHL Group) has won several <a target=""_blank"" href=""https://www.contractsfinder.service.gov.uk/notice/39d21d84-8a02-4e3d-84b1-9c8b9169722c?origin=SearchResults&p=1"">contracts</a> to provide services to the NHS.",contract,8160,
Siobhan Baillie,Conservative party,Siobhan Baillie is a Conservative MP.,job,,
Hydro Industries,Conservative party,"Hydro Industries has <a target=""_blank"" href=""http://search.electoralcommission.org.uk/?currentPage=1&rows=10&query=Hydro%20industries%20&sort=AcceptedDate&order=desc&tab=1&et=tp&et=perpar&et=rd&et=ppm&et=pp&isIrishSourceYes=true&isIrishSourceNo=true&prePoll=false&postPoll=true&register=gb&register=ni&register=none&optCols=Register&optCols=CampaigningName&optCols=AccountingUnitsAsCentralParty&optCols=IsSponsorship&optCols=IsIrishSource&optCols=RegulatedDoneeType&optCols=CompanyRegistrationNumber&optCols=Postcode&optCols=NatureOfDonation&optCols=PurposeOfVisit&optCols=DonationAction&optCols=ReportedDate&optCols=IsReportedPrePoll&optCols=ReportingPeriodName&optCols=IsBequest&optCols=IsAggregation"">donated over £70,000</a> to the Conservative party since 2015.",donor,70,
Hydro Industries,Guto Harri,"Guto Harri is a <a target=""_blank"" href=""https://www.opendemocracy.net/en/dark-money-investigations/firm-run-by-boris-johnsons-ex-adviser-won-35m-government-support/"">board member</a> of Hydro Industries.",job,,
Guto Harri,Boris Johnson,"Guto Harri was <a target=""_blank"" href=""https://www.opendemocracy.net/en/dark-money-investigations/firm-run-by-boris-johnsons-ex-adviser-won-35m-government-support/"">Boris Johnson's communication director</a> when he was Mayor of London, from 2008 to 2012.",job,,
UK government,Hydro Industries,"Hydro Industries was <a target=""_blank"" href=""https://www.opendemocracy.net/en/dark-money-investigations/firm-run-by-boris-johnsons-ex-adviser-won-35m-government-support/"">awarded a convertible loan by the government's Future Fund scheme</a>, which was later converted into equity shares reportedly worth £3.5 million.",contract,3500,
Michelle Donelan,Tom Turner,Tom Turner is the partner of Conservative MP and minister Michelle Donelan.,family,,
Tom Turner,Stronghold Global,"Tom Turner is the <a target=""_blank"" href=""https://goodlawproject.org/news/michelle-donelan-partner-contracts/"">Commercial Head</a> at family-owned firm Stronghold Global.",job,,
Stronghold Global,UK government,"Stronghold Global has supplied over 20 million units of PPE to three hospital trusts, as well as supplying PPE for the government COVID-19 test centres across the country.",contract,20,unknown value - 20 is a placeholder
Benjamin Turner,Tom Turner,Benjamin Turner is the father of Tom Turner.,family,,
Benjamin Turner,Toffeln,Benjamin Turner is the managing director of Toffeln.,job,,
Toffeln,UK government,"Toffeln was awarded a <a target=""_blank"" href=""https://www.contractsfinder.service.gov.uk/notice/af987f03-aa59-4e25-8141-f0e591901483?origin=SearchResults&p=1"">£1.1 million contract</a> with no competition to supply face visors for the Department of Health and Social Care in April 2020.",contract,1100,
Siobhan Baillie,Conservative party,Siobhan Baillie is a Conservative MP.,job,,
Siobhan Baillie,Unknown firms,"Documents <a target=""_blank"" href=""https://goodlawproject.org/news/siobhan-baillie-ppe-vip-lane/"">obtained by the Good Law Project</a> show that Tory MP Siobhan Baillie referred at least three prospective PPE offers to the Cabinet Office between March and June 2020, contradicting her earlier claims. The names of the firms have been withheld so it is unknown whether they were awarded any government contracts.",informal,,
Philip Hulme,Conservative party,"Philip Hulme and his wife have <a target=""_blank"" href=""Philip Hulme"">donated £110,000</a> to the Conservative party.",donor,110,
Philip Hulme,Computacenter,"Philip Hulme is the co-founder of Computacenter, a British computer services firm.",job,,
Computacenter,UK government,"Computacenter was <a target=""_blank"" href=""https://goodlawproject.org/update/computacenter-shareholder-payout/"">awarded government contracts worth £250 million</a> during the pandemic, causing its profits to increase by almost 50%.",contract,250000,
Julia Lopez,Uniserve,"Uniserve <a target=""_blank"" href=""https://goodlawproject.org/update/uniserve-profits-500-vip-contracts/"">shares the same address</a> as Conservative MP and government minister Julia Lopez.",informal,,
Julia Lopez,Conservative party,Julia Lopez is a Conservative MP and government minister.,job,,
Uniserve,UK government,"Uniserve was awarded PPE contracts worth over £300 million <a target=""_blank"" href=""UK government"">via the ""VIP lane""</a>, as well as a contract for freight services for PPE worth £572 million.",contract,872000,
Munira Mirza,Boris Johnson,"Munira Mirza has worked for Boris Johnson as Deputy Mayor of Education and Culture when he was Mayor of London, and currently as his chief policy advisor at Number 10.",job,,
Surbjit Shergill,Pharmaceuticals Direct Ltd,"Surbjit Shergill <a target=""_blank"" href=""https://goodlawproject.org/update/patel-mirza-and-the-middlemen/"">acted as a middleman</a> for Pharmaceuticals Direct Ltd.",job,,
Surbjit Shergill,Munira Mirza,"Surbjit Shergill <a target=""_blank"" href=""https://goodlawproject.org/update/patel-mirza-and-the-middlemen/"">emailed No.10 policy chief Munira Mirza</a> saying that Pharmaceuticals Direct Ltd was ""keen to support the Party and the nation through this turbulent time"".",informal,,
Surbjit Shergill,Priti Patel,"Surbjit Shergill <a target=""_blank"" href=""https://goodlawproject.org/update/patel-mirza-and-the-middlemen/"">emailed Priti Patel</a> after a contract he had negotiated was cancelled. Patel then lobbied the Cabinet Office, resulting in Shergill's firm being awarded contracts to provide PPE at far-above market rates.",informal,,
Ashraf Chohan,Conservative party,"Ashraf Chohan has <a target=""_blank"" href=""http://search.electoralcommission.org.uk/?currentPage=1&rows=10&query=%20chohan&sort=AcceptedDate&order=desc&tab=1&open=filter&et=pp&et=ppm&et=tp&et=perpar&et=rd&isIrishSourceYes=true&isIrishSourceNo=true&date=Reported&from=&to=&quarters=2021Q1234&quarters=2020Q1234&quarters=2019Q1234&quarters=2018Q1234&quarters=2017Q1234&quarters=2016Q1234&quarters=2015Q1234&quarters=2014Q1234&quarters=2013Q1234&quarters=2012Q1234&quarters=2011Q1234&quarters=2010Q1234&quarters=2009Q1234&quarters=2008Q1234&quarters=2007Q1234&quarters=2006Q1234&quarters=2005Q1234&quarters=2004Q1234&quarters=2003Q1234&quarters=2002Q1234&quarters=2001Q1234&prePoll=false&postPoll=true&register=gb&register=ni&register=none&optCols=Register&optCols=CampaigningName&optCols=AccountingUnitsAsCentralParty&optCols=IsSponsorship&optCols=IsIrishSource&optCols=RegulatedDoneeType&optCols=CompanyRegistrationNumber&optCols=Postcode&optCols=NatureOfDonation&optCols=PurposeOfVisit&optCols=DonationAction&optCols=ReportedDate&optCols=IsReportedPrePoll&optCols=ReportingPeriodName&optCols=IsBequest&optCols=IsAggregation"">donated over £20,000 to the Conservative party</a> since 2019.",donor,20,
Ashraf Chohan,Rapid Clinic,Rapid Clinic is a testing clinic set up in December 2020 by Ashraf Chohan.,job,,
Rapid Clinic,UK government,"Rapid Clinic <a target=""_blank"" href=""https://goodlawproject.org/news/tory-welfare-for-the-wealthy/"">received government approval to act as a COVID test provider for international travel</a>, despite having a <a target=""_blank"" href=""https://uk.trustpilot.com/review/rapidclinics.co.uk"">""poor"" rating on Trustpilot</a>.",regulatory,,
Jamal Chohan,Ashraf Chohan,Jamal Chohan is the son of Ashraf Chohan.,family,,
Jamal Chohan,Quick Clinics,"Like his father, Jamal Chohan <a target=""_blank"" href=""https://goodlawproject.org/news/tory-welfare-for-the-wealthy/"">also runs a COVID testing firm</a>, Quick Clinics, which has also been subject to <a target=""_blank"" href=""https://uk.trustpilot.com/review/quickclinics.co.uk"">numerous complaints by consumers</a> for dishonesty.",job,,
UK government,Quick Clinics,"Quick Clinics <a target=""_blank"" href=""https://goodlawproject.org/news/tory-welfare-for-the-wealthy/"">received government approval to act as a COVID test provider for international travel</a>, despite having been subject to <a target=""_blank"" href=""https://uk.trustpilot.com/review/quickclinics.co.uk"">numerous complaints by consumers</a> for dishonesty.",regulatory,,
Stephen John Oakly Caitlin,Qured,"Stephen John Oakly Caitlin is <a target=""_blank"" href=""https://find-and-update.company-information.service.gov.uk/company/10408330/officers"">a director of COVID testing firm Qured</a> (official name ""HEALTH TECHNOLOGIES LIMITED"").",job,,
UK government,Qured,"Qured, a COVID testing firm with a major Tory donor on its board, <a target=""_blank"" href=""https://goodlawproject.org/news/tory-welfare-for-the-wealthy/"">received government approval</a> to provide COVID testing for international travel.",regulatory,,
Stephen John Oakly Caitlin,Conservative party,"Stephen John Oakly Caitlin has <a target=""_blank"" href=""http://search.electoralcommission.org.uk/?currentPage=1&rows=30&query=stephen%20catlin&sort=AcceptedDate&order=desc&tab=1&et=pp&et=ppm&et=tp&et=perpar&et=rd&isIrishSourceYes=true&isIrishSourceNo=true&prePoll=false&postPoll=true&register=gb&register=ni&register=none&optCols=Register&optCols=CampaigningName&optCols=AccountingUnitsAsCentralParty&optCols=IsSponsorship&optCols=IsIrishSource&optCols=RegulatedDoneeType&optCols=CompanyRegistrationNumber&optCols=Postcode&optCols=NatureOfDonation&optCols=PurposeOfVisit&optCols=DonationAction&optCols=ReportedDate&optCols=IsReportedPrePoll&optCols=ReportingPeriodName&optCols=IsBequest&optCols=IsAggregation"">donated £450,000 to the Conservative party</a>, including a £50,000 donation in February 2021. Caitlin's donations are large enough to grant him access to the VIP ""Leader's Club"", which provides direct access to the Prime Minister.",donor,,
Stephen John Oakly Caitlin,Leader's Club,"Stephen John Oakly Caitlin is part of the exclusive ""Leaders' Club"" for wealthy Conservative donors",member,,
Paul Deighton,UK government,"Paul Deighton is a Conservative peer and was appointed <a target=""_blank"" href=""https://bylinetimes.com/2020/10/20/lord-deighton-government-ppe-tsar-hr-contract-chanzo/"">""PPE tsar""</a> by Boris Johnson during the pandemic.",job,,
Chanzo Limited,UK government,"Chanzo Limited was awarded a <a target=""_blank"" href=""https://bylinetimes.com/2020/10/20/lord-deighton-government-ppe-tsar-hr-contract-chanzo/"">£300,620 contract</a> for human resources services by the Department of Health and Social Care.",contract,300,
Chanzo Limited,Jean Tomlin,"Jean Tomlin is the <a target=""_blank"" href=""https://find-and-update.company-information.service.gov.uk/company/05427347/persons-with-significant-control"">majority owner</a> of Chanzo Limited.",job,,
Paul Deighton,Jean Tomlin,"Jean Tomlin and Paul Deighton have <a target=""_blank"" href=""https://bylinetimes.com/2020/10/20/lord-deighton-government-ppe-tsar-hr-contract-chanzo/"">close professional ties</a>: they worked together on the organising committee for the 2012 Olympic Games in London, they are both directors of strategic advisory firm <a target=""_blank"" href=""https://find-and-update.company-information.service.gov.uk/company/03481321/officers"">Hakluyt & Company</a>, and Chanzo's website features a <a target=""_blank"" href=""https://www.chanzo.co.uk/about-us"">glowing endorsement</a> of Tomlin by Deighton.",job,,
Paul Deighton,David Cameron,"Deighton was <a target=""_blank"" href=""https://bylinetimes.com/2020/10/20/lord-deighton-government-ppe-tsar-hr-contract-chanzo/"">nominated to the House of Lords and appointed as Commercial Secretary to the Treasury</a> by David Cameron.",job,,
Honeywell Safety Products,UK government,"Honeywell Safety Products was <a target=""_blank"" href=""https://www.contractsfinder.service.gov.uk/notice/7c41c042-a30a-48ab-aad8-90cef615e1a1?origin=SearchResults&p=1"">awarded a £58 million contract</a> to provide PPE for the Department of Health and Social Care.",contract,58000,
Honeywell Safety Products,Paul Deighton,"Paul Deighton <a target=""_blank"" href=""https://www.nytimes.com/interactive/2020/12/17/world/europe/britain-covid-contracts.html"">holds shares in Honeywell International</a>, whose subsidiary Honeywell Safety Products was awarded a large PPE contract while Deighton served as the government's ""PPE tsar"".",financial,,
Ashraf Chohan,Boris Johnson,"Chohan was <a target=""_blank"" href=""https://www.dailymail.co.uk/news/article-9328093/Takeaways-Boris-Johnson-Carrie-Symonds-UKs-poshest-farm-shop-12-500.html"">one of the Tory donors that funded £12,500 worth of food deliveries </a> to Boris and Carrie Johnson during the pandemic.",donor,12,
Dido Harding,Jockey Club,Dido Harding is on the board of the Jockey Club.,job,,
Jockey Club,Grand National,The Jockey Club runs the Grand National.,job,,
Randox,Grand National,Randox has been the headline sponsor of the Grand National since 2017.,financial,,
Matt Hancock,Jockey Club,Matt Hancock's constituency of Newmarket is the seat of the Jockey Club.,informal,,
Rose Paterson,Owen Paterson,Rose Paterson was married to Owen Paterson.,family,,
Rose Paterson,Matt Ridley,Rose Paterson's brother is Matt Ridley.,family,,
Rose Paterson,Jockey Club,Rose Paterson became chair of the Jockey Club in 2014 and was appointed a member of the board of stewards in 2019.,job,,
